article_id,group_id_type,reprint_type
AlleganyCountyRepublican1901,FHDudley1901_reprint,direct
MEDudley1901_TSC,FHDudley1901_reprint,direct
MEDudley1901_TCN_Nov8,FHDudley1901_reprint,direct
MEDudley1901_TCN_Nov9,FHDudley1901_reprint,direct
MEDudley1901_TNR,FHDudley1901_reprint,direct
TheBannerDemocrat1901,FHDudley1901_reprint,direct
Julian1901_TBH,Julian1901_TS_reprint,direct
TheDailyNews1907,TheGazetteTimes1906_reprint,direct
TheBeloitDailyCall1921_Jun28,CorsicanaDailySun1921_reprint,direct
TheAlmanceGleaner1921,CorsicanaDailySun1921_reprint,direct
GalenaWeeklyRepublican1921,CorsicanaDailySun1921_reprint,direct
TheDailyCourierGazette1921,CorsicanaDailySun1921_reprint,direct
TheEveningGazette1921,CorsicanaDailySun1921_reprint,direct
MountCarmelItem1921,CorsicanaDailySun1921_reprint,direct
TheBeloitDailyCall1921_Jul7,CorsicanaDailySun1921_reprint,direct
ErieCountyIndependent1921,CorsicanaDailySun1921_reprint,direct
TheEveningNews1921,CorsicanaDailySun1921_reprint,direct
TheSuffolkCountyNews1921,CorsicanaDailySun1921_reprint,direct
TheBemidjiDailyPioneer1921,CorsicanaDailySun1921_reprint,direct
GenevaDailyTimes1921,CorsicanaDailySun1921_reprint,direct
SkaneatelesFreePress1921,CorsicanaDailySun1921_reprint,direct
TheFayettevilleBulletin1921,CorsicanaDailySun1921_reprint,direct
TheChanuteDailyTribune1921,CorsicanaDailySun1921_reprint,direct
TheEastHamptonStar1921,CorsicanaDailySun1921_reprint,direct
TheOswegoPalladium1921,CorsicanaDailySun1921_reprint,direct
LipscombLimeLight1921,CorsicanaDailySun1921_reprint,direct
TheRioGrandeRepublic1922,CorsicanaDailySun1921_reprint,direct
CortlandStandard1926,CorsicanaDailySun1921_reprint,direct
TheColdSpringRecorder1930,TheDailyStar1930_reprint,direct
AlbanyEveningJournal1853,Goliah1853_DPT_reprint,truncated
CambridgeChronicle1853,Goliah1853_DPT_reprint,truncated
WeeklyWisconsin1853,Goliah1853_DPT_reprint,truncated
SpringfieldDailyRepublican1853,Goliah1853_DPT_reprint,truncated
ThePortageSentinel1853,Goliah1853_DPT_reprint,truncated
SacramentoDailyUnion1853_Nov1,Santiago1853_reprint,truncated
EveningStar1853,TheDailyHerald1853_reprint,truncated
DailyNews1853,TheDailyHerald1853_reprint,truncated
TheAdamsSentinel1853,TheDailyHerald1853_reprint,truncated
PlantersBanner1853,TheDailyHerald1853_reprint,truncated
ThePeoplesPress1853,TheDailyHerald1853_reprint,truncated
TheJeffersonian1853,TheDailyHerald1853_reprint,truncated
TheAntiSlaveryBugle1853,TheDailyHerald1853_reprint,truncated
BelvidereStandard1853,TheDailyHerald1853_reprint,truncated
SpiritOfTheTimes1853,TheDailyHerald1853_reprint,truncated
