article_id,group_reprint_id
Rawlins1881_Nov17,Wrexham (Wales) Advertiser (see StillSearching)_reprint
Paul1897,Wrexham (Wales) Advertiser (see StillSearching)_reprint
DavenportMorningTribune1889,Wrexham (Wales) Advertiser (see StillSearching)_reprint
AlexandriaGazette1889,Wrexham (Wales) Advertiser (see StillSearching)_reprint
TheDailyDemocrat1891_Feb7,Wrexham (Wales) Advertiser (see StillSearching)_reprint
TheDailyDemocrat1891_Feb10,Wrexham (Wales) Advertiser (see StillSearching)_reprint
TheDailyArgusNews1889,Wrexham (Wales) Advertiser (see StillSearching)_reprint
TheTidings1904_Sep16,Wrexham (Wales) Advertiser (see StillSearching)_reprint
TheTidings1904_Sep23,Wrexham (Wales) Advertiser (see StillSearching)_reprint
TheTidings1904_Sep30,Wrexham (Wales) Advertiser (see StillSearching)_reprint
Paul1911,Wrexham (Wales) Advertiser (see StillSearching)_reprint
MorningTribune1913,Wrexham (Wales) Advertiser (see StillSearching)_reprint
Woodward1930,Wrexham (Wales) Advertiser (see StillSearching)_reprint
Woodward1931,Wrexham (Wales) Advertiser (see StillSearching)_reprint
Bennett1936,Wrexham (Wales) Advertiser (see StillSearching)_reprint
Hardacre1950,Wrexham (Wales) Advertiser (see StillSearching)_reprint
Hardacre1961,Wrexham (Wales) Advertiser (see StillSearching)_reprint
Hardacre1966,Wrexham (Wales) Advertiser (see StillSearching)_reprint
HeizerWhipple1971,Wrexham (Wales) Advertiser (see StillSearching)_reprint
TheYouthsCompanion1880,TheYouthsCompanion1880_reprint
TheOsageCityFreePress1880,TheYouthsCompanion1880_reprint
TheSarniaObserver1898,TheYouthsCompanion1880_reprint
Terry1882,Terry1882_reprint
Mason1883,Mason1883_reprint
TheEveningPost1896,Mason1883_reprint
Rust1897,Mason1883_reprint
Holder1910,Mason1883_reprint
McGroarty1911,Mason1883_reprint
Sheridan1925,Mason1883_reprint
Sheridan1927_21(33),Mason1883_reprint
Sheridan1927_21(34),Mason1883_reprint
Mason1961,Mason1883_reprint
Mason1966,Mason1883_reprint
Harrigan1998,Mason1883_reprint
Witter1885_DAC,Witter1885_DAC_reprint
TheTimes1885,Witter1885_DAC_reprint
CincinnatiCommercialTribune1885,Witter1885_DAC_reprint
TheBostonWeeklyGlobe1885,Witter1885_DAC_reprint
StLouisGlobeDemocrat1885,Witter1885_DAC_reprint
Witter1885_TAC,Witter1885_DAC_reprint
TheEveningStar1885,Witter1885_DAC_reprint
TheEveningTelegram1885,Witter1885_DAC_reprint
ChristianUnion1885,Witter1885_DAC_reprint
BangorDailyWhigAndCourier1885,Witter1885_DAC_reprint
RockyMountainNews1885,Witter1885_DAC_reprint
TheDailyBee1885,Witter1885_DAC_reprint
TheDailyPicayune1885,Witter1885_DAC_reprint
StLouisPostDispatch1885,Witter1885_DAC_reprint
HeraldAndTribune1885,Witter1885_DAC_reprint
AugustaChronicle1885,Witter1885_DAC_reprint
TheTelegraphAndMessenger1885,Witter1885_DAC_reprint
TheBathPlaindealer1885,Witter1885_DAC_reprint
