person_writing,type,key,name,write_up,notes
,persName,#charles,Charles,N/A,
,persName,#charles2,Charles,N/A,
,"persName type=""seaman""",#csbrown,Charles Brown,N/A,
,persName [no type],#chditt,Charles Dittman,N/A,
Rachel,"persName type=""author"" ",#cqu,Charles F. Queenan,N/A,"http://www.laporthistory.org/level2/archive/form/pdfs/front-street.pdf

http://books.google.com/books?id=Ev6CxWymkeIC&pg=PA246&lpg=PA246&dq=charles+f.+queenan&source=bl&ots=H3E2mDAD40&sig=1s5B7talbDpxbrB-f03MgCp4H_o&hl=en&sa=X&ei=GPaVU-W0H4ifyATHu4GYDA&ved=0CHoQ6AEwEA#v=onepage&q=charles%20f.%20queenan&f=false

http://articles.latimes.com/1987-07-26/books/bk-1588_1_business-leaders"
EA,"persName type=""author""",#cdo,"Charles H. Dorsey, Jr.",N/A,http://articles.baltimoresun.com/1990-12-12/news/1990346137_1_gardner-russell-baker-memoirs http://articles.baltimoresun.com/1998-02-13/news/1998044006_1_banker-sun-managing-editor The morning herald.: Newsman Dorsey Dies at 69
,persName,#cmiller,Charles Miller,N/A,
Rachel,"persName type=""author""",#cpa,Charles P. Pajeeick,N/A,
,"persName type=""author""",#schultz,Charles Schultz,N/A,
Rachel,"persName type=""author""",#csmith,Charles Smith,N/A,
Rachel,"persName type=""author""",#cbl,Charlotte Emerson Blount,N/A,http://www.journalnow.com/obituaries/article_9856fc00-ecc0-58fa-a023-48280af12fe8.html
Rachel,"persName type=""nativeamerican""",#cha,Chatalhakeah,N/A,http://lincoln.lib.niu.edu/cgi-bin/philologic/getobject.pl?p.2175:686.lincoln
,"persName type=""author""",#cking,Chester King,N/A,
Rachel,"persName type=""nativeamerican""",#che,Chetakos,N/A,http://lincoln.lib.niu.edu/cgi-bin/philologic/getobject.pl?p.2175:686.lincoln
N/A,"persName type=""nativeamerican""",#chet,Chetakos,N/A,
,persName,#chixjoe,Chicken Joe,N/A,
,persName,#chusor,Chumash sorcerer,N/A,
,persName,#attorney,City Attorney,N/A,
N/A,persName,#cla,Clara Langley,N/A,
Rachel,persName,#cwe,Clara Webber,N/A,"http://womenoflibraryhistory.tumblr.com/post/45181686006/clara-webber

http://pplchildrens.blogspot.com/"
EA,persName,#chowell,Clark Howell,N/A,http://www.georgiaencyclopedia.org/articles/arts-culture/clark-howell-1863-1936 http://www.todayingeorgiahistory.org/content/clark-howell
,"persName type=""author""",#cnwarren,Claude N. Warren,N/A,
Rachel,"persName type=""nativeamerican""",#cle,Clemma,N/A,http://lincoln.lib.niu.edu/cgi-bin/philologic/getobject.pl?p.2175:686.lincoln
Rachel,persName,#cro,Cliff Robertson,N/A,"http://www.washingtonpost.com/local/obituaries/actor-cliff-robertson-dies-at-88/2011/02/21/gIQAhTfqIK_story.html

http://www.imdb.com/name/nm0731772/"
Rachel,persName,#csm,Clifton F. Smith,N/A,"http://www.sbbg.org/sites/default/files/pdfs/Clif_Smith.pdf

http://www.oac.cdlib.org/findaid/ark:/13030/kt8s20237h/entire_text/

http://books.google.com/books/about/A_Flora_of_the_Santa_Barbara_Region_Cali.html?id=f20VAQAAIAAJ"
EA,persName,#cll,Clio Lloyd,N/A,http://www.findagrave.com/cgi-bin/fg.cgi?page=gr&GSln=Lloyd&GSfn=Clio&GSbyrel=all&GSdyrel=all&GSst=6&GScntry=4&GSob=n&GRid=88356843&df=all& http://www.rootsweb.ancestry.com/~cagha/biographies2/bios2/lloyd-clio-l.txt
N/A,"persName type=""frontiersman""",#beanson,Col. Bean's son,N/A,
,persName,#ccly,Colonel J. Colton Lynes,N/A,
,persName,#companion,Companion,N/A,
N/A,persName,#conductor,Conductor,N/A,
,persName,#conl,Conlan,N/A,
Sara,persName,#consul,Consul,N/A,
Rachel,persName,#consultant,Consultant,N/A,
N/A,persName,#contractor,Contractor,N/A,
,persName [no type],#cook1,Cook,N/A,
Rachel,persName,#coo,Coombs,N/A,
,"persName type=""frontiersman""",#coop,Cooper,N/A,
N/A,"persName type=""frontiersman""",#crist,Crist,N/A,
N/A,"name type=""fictional""",#cyrus,Cyrus,N/A,
Rachel,persName,#cza,Czapkay,N/A,
,persName,#bottenstein,D. Bottenstein,N/A,
Rachel,persName,#dbush,"D. I. Bushnell, Jr",N/A,https://www.google.com/search?q=Mrs.+T.+B.+Bishop&rlz=1C1ASUM_enUS472US472&oq=Mrs.+T.+B.+Bishop&aqs=chrome..69i57.572j0j7&sourceid=chrome&es_sm=122&ie=UTF-8#q=%22D.+I.+Bushnell%2C+Jr%22+american+anthropological+association
,"persName type=""author""",#dmcorbett,D. M. Corbett,N/A,
,persName,#pack,D.C. Packard,N/A,
,"persName type=""author""",#dtnash,D.T. Nash,N/A,
,persName,#dallidet,Dallidet,N/A,
Rachel,persName,#daly,Daly,N/A,
,persName,#bleitz,Dana E. Bleitz Sanburg,N/A,
Rachel,persName,#dane,Dane,N/A,
N/A,persName,#spdaughter,Daughter,N/A,
,persName,#dbh,David B. Hill,N/A,
,persName ,#dea,David Easton,N/A,
,persName,#farragut,David Farragut,N/A,
N/A,persName,#davis,Davis a Norweigan,N/A,
,persName,#delamanon,De Lamanon,N/A,
,persName,#pluth1,Deacon Paul Luther,N/A,
Rachel,persName,#mrdelvalle,Del Valle [Mr.],N/A,
,persName [no type],#dipr,Dick Probert,N/A,
Rachel,name,#dog,Dog,N/A,
,persName [no type],#covar,Don Nicolas Covarrubias,N/A,
Rachel,persName,#dlspen,Dorcas L. Spencer,N/A,
Rachel,persName,#dgr,Dorothy Groff,N/A,"http://cdnc.ucr.edu/cgi-bin/cdnc?a=d&d=LAH18980227.2.129

http://cdnc.ucr.edu/cgi-bin/cdnc?a=d&d=LAH18980102.2.125

https://archive.org/details/capital07unse"
Rachel,persName,#dma,Dorothy MacKenzie,N/A,
,"persName type=""author""",#dok,Dorothy Oksner,N/A,
,persName,#hamy,Dr. Hamy,N/A,
,"persName type=""author""",#mab,Dr. M.A. Baumhoff,N/A,
,persName,#pluth,Dr. Paul Luther,N/A,
,persName,#wabr,Dr. William A. Bryan,N/A,
,persName [no type],#man23,Driver,N/A,
,persName,#mofras,Duflot de Mofras,N/A,
Rachel,persName,#duy,Duyckinck,N/A,"http://cdnc.ucr.edu/cgi-bin/cdnc?a=d&d=LAH18980904.2.102

http://cdnc.ucr.edu/cgi-bin/cdnc?a=d&d=LAH18980920.2.164&e=-------en--20--1--txt-txIN------"
,persName,#chever,E. E. Chever,N/A,
Rachel,persName,#ejmole,E. J. Molers,N/A,
Rachel,persName,#elmcl,E. L. McLeod,N/A,"http://books.google.com/books?id=cNaSgFxSFi0C&pg=PA22&lpg=PA22&dq=%22E.+L.+McLeod%22+bakersfield+california&source=bl&ots=7ek9ZUHqdz&sig=oDPt-Um_1IasD8G0aMfoXL2u8rc&hl=en&sa=X&ei=zGqeU-vQINW1yASPt4G4DQ&ved=0CB0Q6AEwAA#v=onepage&q=%22E.%20L.%20McLeod%22&f=false

http://books.google.com/books?id=-24tAQAAIAAJ&pg=PA366&lpg=PA366&dq=%22E.+L.+McLeod%22+bakersfield+california&source=bl&ots=cPwRKF5MdZ&sig=Wqas0k8POKBWDi69WsAAKXYp5As&hl=en&sa=X&ei=zGqeU-vQINW1yASPt4G4DQ&ved=0CCAQ6AEwAQ#v=onepage&q=%22E.%20L.%20McLeod%22&f=false"
Rachel,persName,#epro,"E. P. Roe, Jr.",N/A,"https://archive.org/stream/eproereminiscenc36023gut/pg36023.txt

http://www.gutenberg.org/browse/authors/r#a858"
Rachel,persName,#epvin,E. P. Vining,N/A,
Rachel,persName,#ehues,E. W. Heusinger,N/A,http://archive.org/stream/americanphilat7189394amer/americanphilat7189394amer_djvu.txt
,persName,#eames,Eames,N/A,
N/A,persName,#emar,Ed Martin,N/A,
Rachel,persName,#efu,Edith Furrey,N/A,"http://cdnc.ucr.edu/cgi-bin/cdnc?a=d&d=LAH18980601.2.135

http://cdnc.ucr.edu/cgi-bin/cdnc?a=d&d=LAH18981106.1.14&e=-------en--20--1--txt-txIN------

http://cdnc.ucr.edu/cgi-bin/cdnc?a=d&d=LAH18980920.2.164&e=-------en--20--1--txt-txIN------

http://www.newspapers.com/newspage/42219092/

https://archive.org/details/pacoutlook02unse"
,persName,#ebru,Edward Bruner,N/A,
Rose,"persName type=""author""",#eju,Edward Julian,N/A,
EA,"persName type=""author""",#ede,Edward Musgrove Dealey,N/A,https://tshaonline.org/handbook/online/articles/fde20 https://books.google.com/books?id=misEAAAAMBAJ&pg=PA160&lpg=PA160&dq=Edward+Musgrove+%28Ted%29+Dealey&source=bl&ots=S1o1CiY_jB&sig=DBO14lIaJQTNtsQi29vGvwFjhdA&hl=en&sa=X&ei=57BgUb2gPKPiiALbpIGIDA&ved=0CC0Q6AEwADgK#v=onepage&q=Edward%20Musgrove%20(Ted)%20Dealey&f=false
Rachel,"persName type=""author""",#ero,Edward Roberts,N/A,"http://books.google.com/books?id=wsMpAAAAYAAJ&pg=RA5-PA13&lpg=RA5-PA13&dq=%22Edward+Roberts%22+los+angeles+herald&source=bl&ots=S504lkRX_p&sig=5zgJ2Ehht07MO0LNlIlKKovyhko&hl=en&sa=X&ei=VAt8U7_lIMbIsATVq4CoDg&ved=0CFEQ6AEwBQ#v=onepage&q=%22Edward%20Roberts%22%20&f=false

http://cdnc.ucr.edu/cgi-bin/cdnc?a=d&d=LAH19000722.2.260

http://cdnc.ucr.edu/cgi-bin/cdnc?a=d&d=LAH19000718.2.190"
N/A,"persName type=""author""",#erob,Edwards Roberts,N/A,
Rachel,persName,#mwhe,Elizabeth Hamilton Wheeler,N/A,
Rachel,persName,#emills,Elizabeth Mills,N/A,
Rachel,"persName type=""author""",#eol,Elizabeth Oliver,N/A,http://digital.library.okstate.edu/oktoday/1970s/1979/oktdv29n2.pdf
Rachel,persName,#eto,Elizabeth R. Topping,N/A,"http://freepages.genealogy.rootsweb.ancestry.com/~npmelton/vnvent.htm

https://archive.org/stream/bireportof1928unse#page/12/mode/2up/search/%22Elizabeth+R.+Topping%22

http://books.google.com/books?id=OrUUAAAAYAAJ&pg=PA581&lpg=PA581&dq=%22Elizabeth+R.+Topping%22+%22ventura+county+free+library%22&source=bl&ots=wY_eGDRsUH&sig=zW3Qu167C6RRCMOML7ctYBG08hs&hl=en&sa=X&ei=ZoKbU92pDYyOyASis4GoDA&ved=0CDgQ6AEwBQ#v=onepage&q=%22Elizabeth%20R.%20Topping%22%20%22ventura%20county%20free%20library%22&f=false"
Rachel,"persName type=""author""",#eba,Ellen Batt,N/A,"http://books.google.com/books?id=xhAfjItBVS0C&pg=PA144&lpg=PA144&dq=%22ellen+batt%22+los+angeles+mirror+news&source=bl&ots=mkllnw3UT_&sig=winR4lspO-wQPsUcp_xDYZ1Mcg0&hl=en&sa=X&ei=Vg18U56tIaLjsATY5YHADQ&ved=0CCsQ6AEwAA#v=onepage&q=%22ellen%20batt%22%20los%20angeles%20mirror%20news&f=false

http://www.newspapers.com/newspage/23638538/"
Rachel,persName,#encar,Encarnacíon,N/A,
Rachel,persName,#ence,Encelaria,N/A,
Rachel,"persName type=""nativeamerican""",#ene,Enetus,N/A,http://lincoln.lib.niu.edu/cgi-bin/philologic/getobject.pl?p.2175:686.lincoln
Rachel,persName,#eng,Engineer,N/A,
N/A,persName,#engineer,Engineer,N/A,
N/A,persName,#engraver,Engraver,N/A,
,persName,#ers,Ers,N/A,
Rachel,persName,#ema,Esther R. Mahoney,N/A,"http://www.ex-cbi-roundup.com/documents/1974_october.pdf

http://www.ex-cbi-roundup.com/documents/1965_november.pdf"
,persName,#enevin,Ethelbert Nevin,N/A,"https://sites.google.com/site/pittsburghmusichistory/pittsburgh-music-story/composer-arrangers/ethelbert-woodbridge-nevin
http://www.robinsonlibrary.com/music/composers/nevin.htm"
N/A,"persName type=""seaman""",#evans,Evans,N/A,
Rachel,persName,#fah,F. Ahrendt,N/A,
,"persName type=""author""",#fqua,F. Qua,N/A,
,persName,#fvhayden,F. V. Hayden,N/A,
N/A,persName,#ffr,F. W. Frost,N/A,
,persName,#fabrown,F.A. Brown,N/A,
Rachel,persName,#far,Farand,N/A,
,"persName type=""missionfather""",#anpa,Father Antonio Paterna,N/A,
,"persName type=""missionfather""",#ascan,Father Ascancion,N/A,
,persName,#sitjar,Father Buenaventura Sitjar,N/A,
,persName,#delacuesta,Father Felipe Arroyo de la Cuesta,N/A,
,"persName type=""missionfather""",#boscana,Father Gerónimo Boscana,N/A,
,persName,#lausen,Father Lasuen,N/A,
,persName,#font,Father Pedro Font,N/A,
,"persName type=""nativeamerican""",#chowwidhusband,Felipe,N/A,
,persName,#fdn,Felipe de Neve,N/A,
Rachel,persName,#fking,Fisher-king,N/A,
N/A,"persName type=""frontiersman""",#fitz,Fitzpatrick,N/A,
Rachel,persName,#forbes,Forbes,N/A,
N/A,"persName type=""frontiersman""",#forbush,Forbush,N/A,
Rachel,persName,#foreman,Foreman,N/A,
Rachel,persName,#fou,Foulkes,N/A,
Rachel,persName,#frances,Frances,N/A,
Rachel,persName,#fgr,Frances Groff,N/A,"http://cdnc.ucr.edu/cgi-bin/cdnc?a=d&d=LAH18980917.2.144

http://cdnc.ucr.edu/cgi-bin/cdnc?a=d&d=LAH18980102.2.125"
Rachel,persName,#fmea,Frances Meadows,N/A,"http://images.peabody.yale.edu/lepsoc/jls/2000s/2007/2007(1)50-Powell.pdf

http://www.oac.cdlib.org/findaid/ark:/13030/tf967nb619/entire_text/"
Rachel,persName,#fdy,Francis D. Dye,N/A,https://archive.org/stream/historycaliforn00hittgoog/historycaliforn00hittgoog_djvu.txt
,persName [no type],#francas,Francisca Cascare&#241;a,N/A,
,persName,#arell,Francisco de Arellano,N/A,
Rachel,"persName type=""missionfather""",#fpu,Francisco Pujoly Pujol,N/A,"http://books.google.com/books?id=Ow91AAAAMAAJ&pg=PR9&lpg=PR9&dq=Padre+%22Pujol%22+santa+barbara&source=bl&ots=YT7VaPgxmu&sig=3WdyMD8JWNPb1hF9eCvCbVNWuQ8&hl=en&sa=X&ei=c_97U5q7EbC_sQSaioHIBA&ved=0CE4Q6AEwBg#v=onepage&q=pujol&f=false
Brian T. McCormack, ""Conjugal Violence, Sex, Sin, and Murder in the Mission Communities of Alta 
California "", Journal of the History of Sexuality, 16, 3 (2008): 391-415, ftn 33. 
http://books.google.com/books?id=N0U4AQAAMAAJ&pg=PA17&lpg=PA17&dq=Padre+Pujol+santa+barbara&source=bl&ots=W3fH9ZBMQg&sig=1YrkJIIpDcvdju-zGN5qRxiWgxE&hl=en&sa=X&ei=Qf97U6b6GuTLsATGkYGwDg&ved=0CCkQ6AEwAA#v=snippet&q=Pujol&f=false

http://cdnc.ucr.edu/cgi-bin/cdnc?a=d&d=LAH19020525.2.283.18"
Rachel,persName,#frank,Frank,N/A,
N/A,persName ,#ffaz,Frank Fazzio,N/A,
EA,persName,#fsm,Frank Smith,N/A,http://www.rootsweb.ancestry.com/~cagha/biographies/s/smith-frank-1.txt http://www.findagrave.com/cgi-bin/fg.cgi?page=gr&GSln=Smith&GSfn=Frank&GSby=1845&GSbyrel=in&GSdyrel=all&GSst=6&GScntry=4&GSob=n&GRid=90545258&df=all&
Rachel,persName,#fwe,Frank Weatherwax,N/A,http://www.imdb.com/name/nm0915793/
N/A,"persName type=""frontiersman""",#frapp,Frapp,N/A,
Sara,persName,#fju,Fred Julian,N/A,"San Nicolas Afire, LA Times 25 June 1902, p.A7 (regarding removal of lone herder from island); 25 Sept. 1901. Letter from U. Sebree (Inspector, 12th Lighthouse District) and EGB Davis (Engineer, 12th Lighthouse District) to the Light House Board, Washington, DC (subject: ""report on San Nicolas Island"").  Original in SNI Curation Facility (received transcription from Steve Schwartz) [reports rumors of ""several men"" herding on the island and the discovery of just one, who said he had arrived earlier that year]"
,persName,#reinman,Fred M. Reinman,N/A,
Rachel,"persName type=""author""",#fme,Frederic Gershom Melcher,N/A,"http://www.ala.org/alsc/awardsgrants/bookmedia/newberymedal/aboutnewbery/aboutnewbery

http://www.ala.org/alsc/awardsgrants/bookmedia/caldecottmedal/aboutcaldecott/aboutcaldecott

http://web.archive.org/web/20120217205010/http://ead.lib.virginia.edu/vivaead/published/uva-sc/viu00607.document

http://www.bookweekonline.com/about"
,persName,#frederik,Frédérik,N/A,
,persName,#frenchman,French captain,N/A,
Rachel,persName,#nie,Friedrich Nietzsche,N/A,http://plato.stanford.edu/entries/nietzsche/
Rachel,persName,#gdorsey,G. A. Dorsey,N/A,
Rachel,persName,#gly,G. Brittain Lyttle,N/A,
,"persName type=""author""",#gfm,G. F. M.,N/A,
Rachel,persName,#gpep,G. H. Pepper,N/A,
Rachel,"persName type=""author""",#ghe,G. Hervé,N/A,"http://books.google.com/books?id=W_l1_EtFWzoC&pg=PT528&lpg=PT528&dq=G.+Herv%C3%A9+le+sauvage+de+l%27aveyron&source=bl&ots=0FZIadUoIQ&sig=ork7hUji2BtHDmdc9iRGdR5Poyw&hl=en&sa=X&ei=gTSKU9aPFofgsASjrIKYDg&ved=0CCkQ6AEwAA#v=onepage&q=G.%20Herv%C3%A9%20le%20sauvage%20de%20l'aveyron&f=false

http://is.muni.cz/el/1423/jaro2007/SAN206/um/Stocking-French-Anthropology-1800.pdf

http://books.google.com/books?id=W_l1_EtFWzoC&pg=PT528&lpg=PT528&dq=G.+Herv%C3%A9+le+sauvage+de+l%27aveyron&source=bl&ots=0FZIadUoIQ&sig=ork7hUji2BtHDmdc9iRGdR5Poyw&hl=en&sa=X&ei=gTSKU9aPFofgsASjrIKYDg&ved=0CCkQ6AEwAA#v=onepage&q=Herv%C3%A9%20&f=false"
Rachel,persName,#glknapp,G. L. Knapp,N/A,
Rachel,"persName type=""missionfather""",#gfi,Garcia y Figueroa,N/A,
Rachel,persName,#gar,Garciduena,N/A,
,"persName type=""author""",#gbreschini,Gary Breschini,N/A,
Rachel,"persName type=""author""",#gteg,Gary Tegler,N/A,http://cogweb.ucla.edu/Chumash/Bibliography.html
Rachel,"persName type=""author""",#gau,Gaur,N/A,
,persName,#miner,Gavin,N/A,
N/A,"name type=""fictional""",#gchief,Gelma's chief,N/A,
N/A,"name type=""fictional""",#gschild,Gelma's child,N/A,
N/A,"name type=""fictional""",#gsgirl,Gelma's girl,N/A,
N/A,"name type=""fictional""",#gjuan,Gelma's Juan,N/A,
N/A,"name type=""fictional""",#gsister,Gelma's sister,N/A,
Rachel,persName,#sancatgentle,Gentleman,N/A,
,persName,#sbgentleman,Gentleman,N/A,
,persName,#mbarb,Geo. M. Barber,N/A,
,"persName type=""author""",#gbailey,Geoff Bailey,N/A,
Rachel,persName,#geol,Geologist,N/A,
,persName,#gcarter,George Carter,N/A,
Rachel,persName,#gch,George Chakiris,N/A,"http://www.imdb.com/name/nm0001995/

http://www.tcm.com/tcmdb/person/31640%7C58364/George-Chakiris/biography.html"
Rachel,persName,#gke,George Kennedy,N/A,http://www.imdb.com/name/nm0001421/
Rachel,"persName type=""frontiersman""",#whe,George Montague Wheeler,N/A,http://www.onlinenevada.org/articles/us-geological-and-geographical-surveys-american-west-great-surveys
,persName,#gnijrwife,George Nidever Jr.'s wife,N/A,
Rachel,persName,#gmc,George P. McDougall,N/A,http://books.google.com/books?id=Y21mAAAAMAAJ&pg=PT143&lpg=PT143&dq=Ohio+%22state+representative%22+%22John+McDougall%22&source=bl&ots=-E7_j5AGDG&sig=wV6OQHUqX06TG6zsvC64M917fT0&hl=en&ei=v9sETN7FFsWBlAfMxd3WBg&sa=X&oi=book_result&ct=result&resnum=3&ved=0CD4Q6AEwAg#v=onepage&q=Ohio%20%22state%20representative%22%20%22John%20McDougall%22&f=false
EA,persName,#gteb,George P. Tebbetts,N/A,http://www.rootsweb.ancestry.com/~cagha/biographies/t/tebbetts-george.txt http://www.findagrave.com/cgi-bin/fg.cgi?page=gr&GSln=Tebbetts&GSfn=George&GSby=1827&GSbyrel=in&GSdyrel=all&GSst=6&GScntry=4&GSob=n&GRid=16623080&df=all& https://www.sandiegohistory.org/journal/1963/april/tebbetts/
Rachel,"persName type=""author""",#gse,George Selden,N/A,"http://us.macmillan.com/author/georgeselden

http://www.lib.usm.edu/legacy/degrum/public_html/html/research/findaids/DG0978.html"
EA,persName,#gwe,George Webb,N/A,
,persName,#shiller,Gerald I. Shiller,N/A,
Rachel,"persName type=""author""",#gjo,Gerald White Johnson,N/A,"GERALD W. JOHNSON, REPORTER-HISTORIAN: Friend of Mencken Was Editorial Writer and Columnist for the Sunpapers in Baltimore Like Mencken, a Sage Technique Inspired Awe Wrote Stevenson SpeechesBy JOHN L. HESS. New York Times (1923-Current file) [New York, N.Y] 24 Mar 1980: B9."
Rachel,persName,#ger,Geronimo,N/A,"http://www.nytimes.com/learning/general/onthisday/bday/0616.html#top

http://www.independent.co.uk/news/world/americas/the-big-question-who-was-geronimo-and-why-is--there-controversy-over-his-remains-1714167.html; http://nac.library.cornell.edu/exhibition/encroachment/encroachment_2.html"
Rachel,persName,#gmccrea,Gertrude McCrea,N/A,"http://cdnc.ucr.edu/cgi-bin/cdnc?a=d&d=LAH19010904.2.135

http://cdnc.ucr.edu/cgi-bin/cdnc?a=d&d=LAH18960621.2.30

http://www.archives.com/1940-census/gertrude-mccrea-ca-31735357

http://cdnc.ucr.edu/cgi-bin/cdnc?a=d&d=LAH19020319.2.91"
N/A,persName,#ggi,Gillian Gilhool,N/A,
N/A,"persName type=""frontiersman""",#gill,Gillum,N/A,
,"persName type=""author""",#gal,Glenn Allen,N/A,
Rachel,"persName type=""author""",#gsc,Glenna Schroeder,N/A,
,persName,#lauter,Gloria A. Lauter,N/A,
N/A,"persName type=""frontiersman""",#goddor,Goddor,N/A,
,"persName type=""author""",#gwpearson,Gordon W. Pearson,N/A,
Rachel,"persName type=""author""",#gwo,Gordon Wolfe,N/A,
,persName,#arril,Governor Arrillaga,N/A,
,persName,#borica,Governor Borica,N/A,
Rachel,persName,#gri,Grimes,N/A,
,persName,#gcl,Grover Cleveland,N/A,
Rachel,persName,#guard,Guard,N/A,http://books.google.com/books?id=E5jS4sALwLIC&pg=PA108&lpg=PA108&dq=Bill+Doyle+scott+odell&source=bl&ots=m-gNqyWpM8&sig=rknJVMp4uDna1UUG__kBmVHO9-M&hl=en&sa=X&ei=GcyIU8ToOq3IsATG-ICYDg&ved=0CF0Q6AEwBg#v=onepage&q=william%20doyle&f=false
,persName,#gudde,Gudde,N/A,
Rachel,"persName type=""frontiersman""",#gte,Gustavus Ferdinand von Tempsky,N/A,"http://digital.library.cornell.edu/cgi/t/text/pageviewer-idx?c=harp;cc=harp;rgn=full%20text;idno=harp0017-2;didno=harp0017-2;view=image;seq=00180;node=harp0017-2%3A1

http://www.teara.govt.nz/en/biographies/1t90/tempsky-gustavus-ferdinand-von"
,persName,#hcyarrow,H. C. Yarrow,N/A,
Rachel,persName,#hhha,H. H. Harrison,N/A,"http://books.google.com/books?id=ZCYSAAAAYAAJ&pg=PA183&lpg=PA183&dq=%22H.+H.+Harrison%22+american+anthropological+association&source=bl&ots=hBoqiZVb8v&sig=v6N4JWr3caicgZKZL2jYSoCtzvE&hl=en&sa=X&ei=XVCeU8aiMY6wyASN1IKQAQ&ved=0CB0Q6AEwAA#v=onepage&q=H.%20H.%20Harrison&f=false

http://books.google.com/books?id=rGokAQAAIAAJ&pg=PA63&lpg=PA63&dq=%22H.+H.+Harrison%22+new+york+city&source=bl&ots=gYAWLVCbPs&sig=Pc4qvVWJdfbpXZtMtC_-wVIGiWk&hl=en&sa=X&ei=z1CeU9eAIJWhyAS68oBA&ved=0CB0Q6AEwAA#v=onepage&q=%22H.%20H.%20Harrison%22%20new%20york%20city&f=false"
Rachel,persName,#hismith,H. I. Smith,N/A,
Rachel,persName,#hco,H. M. Corlett,N/A,"http://cdnc.ucr.edu/cgi-bin/cdnc?a=d&d=LAH18981124.1.7&e=-------en--20--1--txt-txIN------

http://cdnc.ucr.edu/cgi-bin/cdnc?a=d&d=LAH18980912.2.113

http://cdnc.ucr.edu/cgi-bin/cdnc?a=d&d=LAH18981124.2.107

http://cdnc.ucr.edu/cgi-bin/cdnc?a=d&d=LAH18980912.1.8&e=-------en--20--1--txt-IN------

https://archive.org/details/westernjournalof91904wagn"
Rachel,persName,#hwak,H. P. Wakelee,N/A,
Rachel,persName,#hruck,H. Rucker,N/A,
Rachel,persName,#hsymmes,H. S. Symmes,N/A,"http://archive.org/stream/annuallibraryin02unkngoog/annuallibraryin02unkngoog_djvu.txt

https://archive.org/stream/annuallibraryin01haingoog/annuallibraryin01haingoog_djvu.txt

http://books.google.com/books?id=aLxGAQAAIAAJ&pg=PP20&lpg=PP20&dq=H.+S.+Symmes+idyllwild+california&source=bl&ots=VTjtTrB5JU&sig=_lA6k7P_r0Gze0E9WsZzy42pD6g&hl=en&sa=X&ei=bYeoU5SJC8ygqAaan4HwBA&ved=0CDsQ6AEwBA#v=onepage&q=H.%20S.%20Symmes%20&f=false"
,persName,#hcfall,H.C. Fall,N/A,
,persName,#hcjudd,H.C. Judd,N/A,
,persName,#hghut,H.G. Hutchins,N/A,
Rachel,"persName type=""nativeamerican""",#hah,Hahulteah,N/A,http://lincoln.lib.niu.edu/cgi-bin/philologic/getobject.pl?p.2175:686.lincoln
Rachel,persName,#hmo,Hardwick Moseley,N/A,
Rachel,"persName type=""author""",#htr,Harlan Trott,N/A,http://books.google.com/books/about/Christian_Science_Monitor_Articles.html?id=7Ob5SAAACAAJ
,persName,#hjo,Harleigh Johnston,N/A,
,persName,#hkelley,Harper Kelley,N/A,
N/A,"persName type=""frontiersman""",#harr,Harris,N/A,
Rachel,"persName type=""author""",#hst,Harrison Stephens,N/A,"http://www.newspapers.com/newspage/70239189/

http://www.newspapers.com/newspage/70206549/

http://www.newspapers.com/newspage/70263465/

https://openlibrary.org/works/OL5120896W/Golden_past_golden_future"
EA,"persName type=""author""",#hch,Harry Chandler,N/A,"http://archives.chicagotribune.com/1944/09/24/page/22/article/harry-chandler-dies-publisher-in-los-angeles#text https://news.google.com/newspapers?nid=950&dat=19440925&id=S2lIAAAAIBAJ&sjid=JFUDAAAAIBAJ&pg=5726,4499200&hl=en"
N/A,"persName type=""frontiersman""",#hpl,Harry Plomer,N/A,
Rachel,persName,#hpo,Harry Polley,N/A,"http://cdnc.ucr.edu/cgi-bin/cdnc?a=d&d=LAH18980925.2.109&e=-------en--20--1--txt-txIN------

http://cdnc.ucr.edu/cgi-bin/cdnc?a=d&d=LAH18980918.1.16&e=-------en--20--1--txt-txIN------

http://archive.org/stream/channelislandsc02cabrgoog/channelislandsc02cabrgoog_djvu.txt"
N/A,"persName type=""frontiersman""",#has,Hastead,N/A,
Rachel,persName,#haws,Haws,N/A,
Rachel,persName,#hay,Hayden,N/A,
Rachel,persName,#all,Hector Alliott,N/A,"https://archive.org/stream/jstor-1886938/1886938_djvu.txt

http://books.google.com/books?id=ZoNmAAAAMAAJ&pg=PR9&lpg=PR9&dq=%22hector+alliott%22+southwest+museum&source=bl&ots=CwldcxcBr3&sig=oanGkIO1leNMpy5rUUPxKf8Hhto&hl=en&sa=X&ei=XrKwU5O4LMKlqAb9k4DoBQ&ved=0CC4Q6AEwBQ#v=onepage&q=%22hector%20alliott%22&f=false

http://books.google.com/books?id=q27XAAAAMAAJ&pg=RA1-PA4&lpg=RA1-PA4&dq=%22hector+alliott%22+southwest+museum&source=bl&ots=hAO4QMSlHu&sig=yiMtwRNNfgcRL-jIjbPACULSGss&hl=en&sa=X&ei=XrKwU5O4LMKlqAb9k4DoBQ&ved=0CCsQ6AEwBA#v=onepage&q=%22hector%20alliott%22&f=false"
Rachel,persName,#hagr,Helen A. Green,N/A,http://www.rootsweb.ancestry.com/~cagha/biographies/s/shaw-j-b.txt
,persName ,#hhig,Helen Hight,N/A,
