object_id,article_id,image_display_template,image_parent_id,image_file,image_object_location
ArizonaWeeklyJournalMiner1893_img1,ArizonaWeeklyJournalMiner1893,image,ArizonaWeeklyJournalMiner1893_Original,ArizonaWeeklyJournalMiner1893_DigSur_1.png,objects/ArizonaWeeklyJournalMiner1893/ArizonaWeeklyJournalMiner1893_DigSur_1.png
ArizonaWeeklyJournalMiner1893_img2,ArizonaWeeklyJournalMiner1893,image,ArizonaWeeklyJournalMiner1893_Original,ArizonaWeeklyJournalMiner1893_DigSur_2.png,objects/ArizonaWeeklyJournalMiner1893/ArizonaWeeklyJournalMiner1893_DigSur_2.png
ArkansasCityTraveler1892_Original,ArkansasCityTraveler1892,compound_object,,ArkansasCityTraveler1892_DigSur_1.png,objects/ArkansasCityTraveler1892/ArkansasCityTraveler1892_DigSur_1.png
ArkansasCityTraveler1892_img1,ArkansasCityTraveler1892,image,ArkansasCityTraveler1892_Original,ArkansasCityTraveler1892_DigSur_1.png,objects/ArkansasCityTraveler1892/ArkansasCityTraveler1892_DigSur_1.png
ArkansasCityTraveler1892_img2,ArkansasCityTraveler1892,image,ArkansasCityTraveler1892_Original,ArkansasCityTraveler1892_DigSur_2.png,objects/ArkansasCityTraveler1892/ArkansasCityTraveler1892_DigSur_2.png
ArkansasCityTraveler1892_img3,ArkansasCityTraveler1892,image,ArkansasCityTraveler1892_Original,ArkansasCityTraveler1892_DigSur_3.png,objects/ArkansasCityTraveler1892/ArkansasCityTraveler1892_DigSur_3.png
ArkansasCityTraveler1892_img4,ArkansasCityTraveler1892,image,ArkansasCityTraveler1892_Original,ArkansasCityTraveler1892_DigSur_4.png,objects/ArkansasCityTraveler1892/ArkansasCityTraveler1892_DigSur_4.png
ArkansasCityTraveler1892_img5,ArkansasCityTraveler1892,image,ArkansasCityTraveler1892_Original,ArkansasCityTraveler1892_DigSur_5.png,objects/ArkansasCityTraveler1892/ArkansasCityTraveler1892_DigSur_5.png
AugustaChronicle1885_Original,AugustaChronicle1885,compound_object,,AugustaChronicle1885_DigSur_1.png,objects/AugustaChronicle1885/AugustaChronicle1885_DigSur_1.png
AugustaChronicle1885_img1,AugustaChronicle1885,image,AugustaChronicle1885_Original,AugustaChronicle1885_DigSur_1.png,objects/AugustaChronicle1885/AugustaChronicle1885_DigSur_1.png
AugustaChronicle1885_img2,AugustaChronicle1885,image,AugustaChronicle1885_Original,AugustaChronicle1885_DigSur_2.png,objects/AugustaChronicle1885/AugustaChronicle1885_DigSur_2.png
AugustaChronicle1885_img3,AugustaChronicle1885,image,AugustaChronicle1885_Original,AugustaChronicle1885_DigSur_3.png,objects/AugustaChronicle1885/AugustaChronicle1885_DigSur_3.png
AugustaChronicle1885_img4,AugustaChronicle1885,image,AugustaChronicle1885_Original,AugustaChronicle1885_DigSur_4.png,objects/AugustaChronicle1885/AugustaChronicle1885_DigSur_4.png
AugustaChronicle1885_img5,AugustaChronicle1885,image,AugustaChronicle1885_Original,AugustaChronicle1885_DigSur_5.png,objects/AugustaChronicle1885/AugustaChronicle1885_DigSur_5.png
AugustaChronicle1885_img6,AugustaChronicle1885,image,AugustaChronicle1885_Original,AugustaChronicle1885_DigSur_6.png,objects/AugustaChronicle1885/AugustaChronicle1885_DigSur_6.png
AugustaChronicle1885_img7,AugustaChronicle1885,image,AugustaChronicle1885_Original,AugustaChronicle1885_DigSur_7.png,objects/AugustaChronicle1885/AugustaChronicle1885_DigSur_7.png
AugustaChronicle1885_img8,AugustaChronicle1885,image,AugustaChronicle1885_Original,AugustaChronicle1885_DigSur_8.png,objects/AugustaChronicle1885/AugustaChronicle1885_DigSur_8.png
BangorDailyWhigAndCourier1885_Original,BangorDailyWhigAndCourier1885,compound_object,,BangorDailyWhigAndCourier1885_DigSur_1.png,objects/BangorDailyWhigAndCourier1885/BangorDailyWhigAndCourier1885_DigSur_1.png
BangorDailyWhigAndCourier1885_img1,BangorDailyWhigAndCourier1885,image,BangorDailyWhigAndCourier1885_Original,BangorDailyWhigAndCourier1885_DigSur_1.png,objects/BangorDailyWhigAndCourier1885/BangorDailyWhigAndCourier1885_DigSur_1.png
BangorDailyWhigAndCourier1885_img2,BangorDailyWhigAndCourier1885,image,BangorDailyWhigAndCourier1885_Original,BangorDailyWhigAndCourier1885_DigSur_2.png,objects/BangorDailyWhigAndCourier1885/BangorDailyWhigAndCourier1885_DigSur_2.png
BangorDailyWhigAndCourier1885_img3,BangorDailyWhigAndCourier1885,image,BangorDailyWhigAndCourier1885_Original,BangorDailyWhigAndCourier1885_DigSur_3.png,objects/BangorDailyWhigAndCourier1885/BangorDailyWhigAndCourier1885_DigSur_3.png
BangorDailyWhigAndCourier1885_img4,BangorDailyWhigAndCourier1885,image,BangorDailyWhigAndCourier1885_Original,BangorDailyWhigAndCourier1885_DigSur_4.png,objects/BangorDailyWhigAndCourier1885/BangorDailyWhigAndCourier1885_DigSur_4.png
BangorDailyWhigAndCourier1885_img5,BangorDailyWhigAndCourier1885,image,BangorDailyWhigAndCourier1885_Original,BangorDailyWhigAndCourier1885_DigSur_5.png,objects/BangorDailyWhigAndCourier1885/BangorDailyWhigAndCourier1885_DigSur_5.png
